,postDateTime,headline,summary,url,tags
223,2023-11-21 08:00:00+00:00,Apache Flink is now generally available for Amazon EMR on EKS,"<p>Today, we are excited to announce that Apache Flink is now generally available for <a href=""/content/aws.amazon.com/live/en_US/emr/features/eks.html"" target=""_blank"" rel=""noopener"">Amazon EMR on EKS</a>. With Apache Flink for Amazon EMR on EKS, customers can transform and analyze streaming data in real time with Apache Flink, an open-source framework for stateful computations over data streams. Amazon EMR on EKS is a deployment option for <a href=""/content/aws.amazon.com/live/en_US/emr.html"" target=""_blank"" rel=""noopener"">Amazon EMR</a> that makes it easy for customers to run their big data applications and data lake analytics workloads on EKS. Customers already using Amazon EKS can run their Apache Flink application along with other types of applications on the same Amazon EKS cluster, helping improve resource utilization and simplify infrastructure management.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/apache-flink-available-amazon-emr-eks/,"['containers', '2023', 'analytics', 'amazon-eks', 'aws-govcloud-us', 'Launch Announcement', 'amazon-emr']"
224,2023-11-21 08:00:00+00:00,AWS Amplify launches next generation of backend building capabilities,"<p>Today, AWS Amplify announces a public preview of its code-first developer experience (Gen 2), enabling developers to build full-stack apps using TypeScript. Gen 2 shifts to a code-first approach that allows developers to express app requirements - data model, business logic, authorization rules - in TypeScript. The necessary cloud infrastructure is automatically deployed based on the app code, without explicit infrastructure definitions.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/aws-amplify-next-generation-backend-capabilities/,"['aws-amplify', 'mobile-services', '2023', 'Launch Announcement']"
225,2023-11-21 08:00:00+00:00,Amazon S3 server access logging now supports automatic date-based partitioning,"<p>Amazon S3 server access logging now supports automatic date-based partitioning for log delivery. Amazon S3 server access logging provides detailed records for requests made to your S3 buckets including object size, total time, turn-around time, HTTP referer, and more. Now, with date-based partitioning, Amazon S3 automatically generates either event time or delivery time prefixes when delivering access logs to your destination bucket, which allows services like Amazon Athena, Amazon EMR, and Amazon Redshift Spectrum to improve performance and reduce cost when querying logs.<br>
</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/amazon-s3-server-access-logging-date-partitioning/,"['aws-govcloud-us', 'amazon-s3', 'Launch Announcement', '2023', 'storage']"
226,2023-11-21 08:00:00+00:00,Amazon Elastic Block Store announces io2 Block Express volumes available on all EC2 Nitro instances,"<p>Today, Amazon Elastic Block Store (EBS) announced that io2 Block Express volumes are available on all EC2 instances built on the <a href=""https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/instance-types.html#ec2-nitro-instances"" target=""_blank"" rel=""noopener"">Nitro system</a>. All new io2 volumes used with EC2 Nitro instances will automatically benefit from the latest generation of EBS storage server architecture designed to deliver consistent sub-millisecond latency and 99.999% durability. With a single io2 Block Express volume, customers can achieve 256,000 IOPS, 4GB/s of throughput, and storage capacity of 64 TiB. io2 Block Express has the lowest p99.9 I/O latency and the best outlier latency control among major cloud providers, making it the ideal choice for the most I/O-intensive, mission-critical deployments of SAP HANA, Oracle, Microsoft SQL Server, and IBM DB2.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/amazon-elastic-block-store-io2-block-express-nitro/,"['Launch Announcement', '2023', 'storage', 'amazon-elastic-block-store']"
227,2023-11-21 08:00:00+00:00,EC2 Image Builder now supports image lifecycle management and deletion,"<p>Customers can now manage the lifecycle of their custom Amazon Machine Images (AMIs) and Container images created on EC2 Image Builder. Customers can save costs by deleting unused images that accumulate storage charges on AWS. You no longer have to keep track of their custom images distributed across AWS accounts and AWS regions, and manually retire them as the images become outdated. With this launch, we provide customers an automated way to identify and remove outdated images, avoiding accidental usage of those images.&nbsp;</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/ec2-image-builder-lifecycle-management-deletion/,"['2023', 'amazon-ec2', 'Launch Announcement', 'compute']"
228,2023-11-21 08:00:00+00:00,Customers can now launch their Amazon EMR on EC2 clusters in 5 minutes or less,"<p>Today, we are excited to announce that Amazon EMR has made it up to 35% faster, year on year, to launch an Amazon EMR on EC2 cluster. With these improvements, majority of the customer can launch their Amazon EMR on EC2 clusters in 5 mins or less.&nbsp;</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/amazon-emr-ec2-clusters-5-minutes-less/,"['2023', 'analytics', 'Launch Announcement', 'aws-govcloud-us', 'amazon-emr']"
229,2023-11-20 13:00:00+00:00,Amazon EC2 Mac instances now support Apple macOS Sonoma,"<p>Starting today, customers can run Apple macOS Sonoma (version 14) as Amazon Machine Images (AMIs) on Amazon EC2 Mac instances. macOS Sonoma is the latest major macOS version from Apple, and introduces multiple new features and performance improvements over prior macOS versions including support for running Xcode version 15.0 and later, which includes the latest SDKs for iOS, iPadOS, macOS, tvOS, watchOS, and visionOS. </p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/amazon-ec2-mac-instances-support-apple-macos-sonoma/,"['compute', 'Launch Announcement', '2023', 'amazon-ec2']"
230,2023-11-20 13:00:00+00:00,AWS Amplify Hosting extends server-side rendering (SSR) support to additional frameworks,"<p>AWS Amplify Hosting is excited to announce the general availability of a new deployment specification that enables developers to build plugins for hosting server-side rendering (SSR) applications on Amplify. Leveraging this new feature, we have partnered with the Nuxt team to add built-in support for Nuxt SSR deployments on Amplify Hosting. This specification is available in the <a href=""https://nitro.unjs.io/deploy/providers/aws-amplify"" target=""_blank"" rel=""noopener"">built-in deployment preset within the Nitro.js server</a> that powers Nuxt, which extends support to any framework built on Nitro.js.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/aws-amplify-hosting-ssr-additional-frameworks/,"['Launch Announcement', 'mobile-services', '2023', 'developer-tools', 'aws-amplify', 'serverless']"
231,2023-11-20 13:00:00+00:00,Amazon QuickSight now supports runtime theming for embedded dashboards and visuals,"<p><a href=""/content/aws.amazon.com/live/en_US/quicksight.html"" target=""_blank"" rel=""noopener"">Amazon QuickSight</a> now supports theming of embedded dashboards and visuals at runtime that can help you seamlessly integrate your SaaS application with Amazon QuickSight embedded dashboards and visuals. You can use the <a href=""https://github.com/awslabs/amazon-quicksight-embedding-sdk"" target=""_blank"" rel=""noopener"">embedded SDK</a> to synchronize the theme of your embedded content with your application, and unlock personalized and accessible options for your users. To learn more about embedded runtime theming, read this <a href=""https://aws.amazon.com/blogs/business-intelligence/build-custom-and-interactive-dashboards-using-new-runtime-capabilities-in-quicksight-embedding-sdk/"" target=""_blank"" rel=""noopener"">blog post</a> and click <a href=""https://docs.aws.amazon.com/quicksight/latest/user/embedding-runtime-theming.html"" target=""_blank"" rel=""noopener"">here</a>.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/amazon-quicksight-runtime-theming-embedded-dashboards-visuals/,"['Launch Announcement', 'amazon-quicksight', 'aws-govcloud-us', 'analytics', '2023']"
232,2023-11-20 13:00:00+00:00,Amazon QuickSight now supports export and import of asset permissions and tags,"<p><a href=""/content/aws.amazon.com/live/en_US/quicksight.html"" target=""_blank"" rel=""noopener"">Amazon QuickSight</a> now supports programmatic export and import of assets permissions and tags as an update to previously <a href=""https://aws.amazon.com/about-aws/whats-new/2023/06/amazon-quicksight-apis-automate-accelerate-assets-deployment/"" target=""_blank"" rel=""noopener"">launched</a> export and import APIs. This enables you to backup and restore, continuously replicate and migrate QuickSight assets along with their permissions and tags. Previously with the earlier version of these APIs you had to populate permissions and tags separately. To learn more, click <a href=""https://docs.aws.amazon.com/quicksight/latest/developerguide/asset-bundle-ops.html"" target=""_blank"" rel=""noopener"">here</a>.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/amazon-quicksight-export-import-asset-permissions-tags/,"['amazon-quicksight', '2023', 'Launch Announcement', 'aws-govcloud-us', 'analytics']"
233,2023-11-20 13:00:00+00:00,AWS Systems Manager Incident Manager now identifies probable root causes of incidents,"<p>Starting today, customers can identify probable root causes of incidents in Incident Manager, a capability of AWS Systems Manager. When an alarm or event triggers an incident, Incident Manager now identifies recent AWS CloudFormation and AWS CodeDeploy deployments that included the affected resource and likely caused the incident. Incident responders will see deployment details and a direct link to the deployment, accelerating root cause diagnosis and reducing mean time to resolution (MTTR).</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/aws-systems-manager-incident-manager-identifies-probable-root-causes/,"['2023', 'aws-systems-manager', 'Launch Announcement', 'management-and-governance']"
